quarter,owner_id,segment,target_amount
2024 Q1,owner_1,SMB,42000
2024 Q2,owner_1,SMB,48300
2024 Q3,owner_1,SMB,55545
2024 Q4,owner_1,SMB,63877
2025 Q1,owner_1,SMB,73458
2025 Q2,owner_1,SMB,84477
2025 Q3,owner_1,SMB,97149
2025 Q4,owner_1,SMB,111721
2024 Q1,owner_2,SMB,42000
2024 Q2,owner_2,SMB,48300
2024 Q3,owner_2,SMB,55545
2024 Q4,owner_2,SMB,63877
2025 Q1,owner_2,SMB,73458
2025 Q2,owner_2,SMB,84477
2025 Q3,owner_2,SMB,97149
2025 Q4,owner_2,SMB,111721
2024 Q1,owner_3,SMB,42000
2024 Q2,owner_3,SMB,48300
2024 Q3,owner_3,SMB,55545
2024 Q4,owner_3,SMB,63877
2025 Q1,owner_3,SMB,73458
2025 Q2,owner_3,SMB,84477
2025 Q3,owner_3,SMB,97149
2025 Q4,owner_3,SMB,111721
2024 Q1,owner_4,SMB,42000
2024 Q2,owner_4,SMB,48300
2024 Q3,owner_4,SMB,55545
2024 Q4,owner_4,SMB,63877
2025 Q1,owner_4,SMB,73458
2025 Q2,owner_4,SMB,84477
2025 Q3,owner_4,SMB,97149
2025 Q4,owner_4,SMB,111721
2024 Q1,owner_5,SMB,42000
2024 Q2,owner_5,SMB,48300
2024 Q3,owner_5,SMB,55545
2024 Q4,owner_5,SMB,63877
2025 Q1,owner_5,SMB,73458
2025 Q2,owner_5,SMB,84477
2025 Q3,owner_5,SMB,97149
2025 Q4,owner_5,SMB,111721
2024 Q1,owner_6,Mid-Market,52000
2024 Q2,owner_6,Mid-Market,59800
2024 Q3,owner_6,Mid-Market,68770
2024 Q4,owner_6,Mid-Market,79086
2025 Q1,owner_6,Mid-Market,90948
2025 Q2,owner_6,Mid-Market,104591
2025 Q3,owner_6,Mid-Market,120279
2025 Q4,owner_6,Mid-Market,138321
2024 Q1,owner_7,Mid-Market,52000
2024 Q2,owner_7,Mid-Market,59800
2024 Q3,owner_7,Mid-Market,68770
2024 Q4,owner_7,Mid-Market,79086
2025 Q1,owner_7,Mid-Market,90948
2025 Q2,owner_7,Mid-Market,104591
2025 Q3,owner_7,Mid-Market,120279
2025 Q4,owner_7,Mid-Market,138321
2024 Q1,owner_8,Mid-Market,52000
2024 Q2,owner_8,Mid-Market,59800
2024 Q3,owner_8,Mid-Market,68770
2024 Q4,owner_8,Mid-Market,79086
2025 Q1,owner_8,Mid-Market,90948
2025 Q2,owner_8,Mid-Market,104591
2025 Q3,owner_8,Mid-Market,120279
2025 Q4,owner_8,Mid-Market,138321
2024 Q1,owner_9,Mid-Market,52000
2024 Q2,owner_9,Mid-Market,59800
2024 Q3,owner_9,Mid-Market,68770
2024 Q4,owner_9,Mid-Market,79086
2025 Q1,owner_9,Mid-Market,90948
2025 Q2,owner_9,Mid-Market,104591
2025 Q3,owner_9,Mid-Market,120279
2025 Q4,owner_9,Mid-Market,138321
2024 Q1,owner_10,Enterprise,59000
2024 Q2,owner_10,Enterprise,67850
2024 Q3,owner_10,Enterprise,78028
2024 Q4,owner_10,Enterprise,89732
2025 Q1,owner_10,Enterprise,103191
2025 Q2,owner_10,Enterprise,118670
2025 Q3,owner_10,Enterprise,136471
2025 Q4,owner_10,Enterprise,156941
2024 Q1,owner_11,Enterprise,59000
2024 Q2,owner_11,Enterprise,67850
2024 Q3,owner_11,Enterprise,78028
2024 Q4,owner_11,Enterprise,89732
2025 Q1,owner_11,Enterprise,103191
2025 Q2,owner_11,Enterprise,118670
2025 Q3,owner_11,Enterprise,136471
2025 Q4,owner_11,Enterprise,156941
2024 Q1,owner_12,Strategic,64000
2024 Q2,owner_12,Strategic,73600
2024 Q3,owner_12,Strategic,84640
2024 Q4,owner_12,Strategic,97336
2025 Q1,owner_12,Strategic,111936
2025 Q2,owner_12,Strategic,128727
2025 Q3,owner_12,Strategic,148036
2025 Q4,owner_12,Strategic,170241
2024 Q1,owner_13,Strategic,64000
2024 Q2,owner_13,Strategic,73600
2024 Q3,owner_13,Strategic,84640
2024 Q4,owner_13,Strategic,97336
2025 Q1,owner_13,Strategic,111936
2025 Q2,owner_13,Strategic,128727
2025 Q3,owner_13,Strategic,148036
2025 Q4,owner_13,Strategic,170241
