,deal_id,snapshot_date,stage,forecast_category,amount,close_date,owner_id,stage_change,stage_start_date,days_in_stage,stalled
7043,deal_10,2025-03-31,Prospecting,Pipeline,30935,2025-07-22,owner_8,True,2025-03-31,0,False
7044,deal_10,2025-04-07,Prospecting,Pipeline,30935,2025-07-22,owner_8,False,2025-03-31,7,False
7045,deal_10,2025-04-14,Prospecting,Pipeline,30935,2025-07-22,owner_8,False,2025-03-31,14,False
7046,deal_10,2025-04-21,Prospecting,Pipeline,30935,2025-07-22,owner_8,False,2025-03-31,21,False
7047,deal_10,2025-04-28,Prospecting,Pipeline,30935,2025-07-22,owner_8,False,2025-03-31,28,False
7048,deal_10,2025-05-05,Qualification,Pipeline,30935,2025-07-22,owner_8,True,2025-05-05,0,False
7049,deal_10,2025-05-12,Qualification,Pipeline,30935,2025-07-22,owner_8,False,2025-05-05,7,False
7050,deal_10,2025-05-19,Qualification,Pipeline,30935,2025-07-22,owner_8,False,2025-05-05,14,False
7051,deal_10,2025-05-26,Qualification,Pipeline,30935,2025-07-22,owner_8,False,2025-05-05,21,False
7052,deal_10,2025-06-02,Qualification,Pipeline,30935,2025-07-22,owner_8,False,2025-05-05,28,False
7053,deal_10,2025-06-09,Proposal,Best Case,30935,2025-07-22,owner_8,True,2025-06-09,0,False
7829,deal_100,2024-01-29,Prospecting,Pipeline,56606,2024-03-25,owner_9,True,2024-01-29,0,False
7830,deal_100,2024-02-05,Prospecting,Pipeline,56606,2024-03-25,owner_9,False,2024-01-29,7,False
7831,deal_100,2024-02-12,Qualification,Pipeline,56606,2024-03-25,owner_9,True,2024-02-12,0,False
7832,deal_100,2024-02-19,Qualification,Pipeline,56606,2024-03-25,owner_9,False,2024-02-12,7,False
7833,deal_100,2024-02-26,Proposal,Best Case,56606,2024-03-25,owner_9,True,2024-02-26,0,False
7834,deal_100,2024-03-04,Proposal,Best Case,56606,2024-03-25,owner_9,False,2024-02-26,7,False
7835,deal_100,2024-03-11,Negotiation,Best Case,56606,2024-03-25,owner_9,True,2024-03-11,0,False
7836,deal_100,2024-03-18,Negotiation,Best Case,56606,2024-03-25,owner_9,False,2024-03-11,7,False
7837,deal_100,2024-03-25,Closed Won,Closed,56606,2024-03-25,owner_9,True,2024-03-25,0,False
2492,deal_101,2024-02-12,Prospecting,Pipeline,198248,2024-07-03,owner_13,True,2024-02-12,0,False
2493,deal_101,2024-02-19,Prospecting,Pipeline,216533,2024-07-03,owner_13,False,2024-02-12,7,False
2494,deal_101,2024-02-26,Prospecting,Pipeline,228606,2024-07-03,owner_13,False,2024-02-12,14,False
2495,deal_101,2024-03-04,Prospecting,Pipeline,258971,2024-07-03,owner_13,False,2024-02-12,21,False
2496,deal_101,2024-03-11,Prospecting,Pipeline,213950,2024-07-03,owner_13,False,2024-02-12,28,False
2497,deal_101,2024-03-18,Qualification,Pipeline,219852,2024-07-03,owner_13,True,2024-03-18,0,False
2498,deal_101,2024-03-25,Qualification,Pipeline,207580,2024-07-03,owner_13,False,2024-03-18,7,False
2499,deal_101,2024-04-01,Qualification,Pipeline,265926,2024-07-03,owner_13,False,2024-03-18,14,False
2500,deal_101,2024-04-08,Qualification,Pipeline,237665,2024-07-03,owner_13,False,2024-03-18,21,False
2501,deal_101,2024-04-15,Qualification,Pipeline,277836,2024-07-03,owner_13,False,2024-03-18,28,False
2502,deal_101,2024-04-22,Proposal,Best Case,278086,2024-07-03,owner_13,True,2024-04-22,0,False
2503,deal_101,2024-04-29,Proposal,Best Case,215151,2024-07-03,owner_13,False,2024-04-22,7,False
2504,deal_101,2024-05-06,Proposal,Best Case,223294,2024-07-03,owner_13,False,2024-04-22,14,False
2505,deal_101,2024-05-13,Proposal,Best Case,255219,2024-07-03,owner_13,False,2024-04-22,21,False
2506,deal_101,2024-05-20,Proposal,Best Case,265845,2024-07-03,owner_13,False,2024-04-22,28,False
2507,deal_101,2024-05-27,Negotiation,Best Case,220827,2024-07-03,owner_13,True,2024-05-27,0,False
2508,deal_101,2024-06-03,Negotiation,Best Case,247099,2024-07-03,owner_13,False,2024-05-27,7,False
2509,deal_101,2024-06-10,Negotiation,Best Case,242692,2024-07-03,owner_13,False,2024-05-27,14,False
2510,deal_101,2024-06-17,Negotiation,Best Case,259496,2024-07-03,owner_13,False,2024-05-27,21,False
2511,deal_101,2024-06-24,Negotiation,Best Case,271074,2024-07-03,owner_13,False,2024-05-27,28,False
2512,deal_101,2024-07-01,Closed Won,Closed,234016,2024-07-03,owner_13,True,2024-07-01,0,False
103,deal_102,2025-02-24,Prospecting,Pipeline,28076,2025-07-16,owner_1,True,2025-02-24,0,False
104,deal_102,2025-03-03,Prospecting,Pipeline,33796,2025-07-16,owner_1,False,2025-02-24,7,False
105,deal_102,2025-03-10,Prospecting,Pipeline,27050,2025-08-16,owner_1,False,2025-02-24,14,False
106,deal_102,2025-03-17,Prospecting,Pipeline,29659,2025-05-16,owner_1,False,2025-02-24,21,False
107,deal_102,2025-03-24,Prospecting,Pipeline,29222,2025-07-16,owner_1,False,2025-02-24,28,False
108,deal_102,2025-03-31,Qualification,Pipeline,32085,2025-08-16,owner_1,True,2025-03-31,0,False
109,deal_102,2025-04-07,Qualification,Pipeline,28100,2025-04-16,owner_1,False,2025-03-31,7,False
110,deal_102,2025-04-14,Qualification,Pipeline,28444,2025-07-16,owner_1,False,2025-03-31,14,False
111,deal_102,2025-04-21,Qualification,Pipeline,28121,2025-07-16,owner_1,False,2025-03-31,21,False
112,deal_102,2025-04-28,Qualification,Pipeline,29901,2025-08-16,owner_1,False,2025-03-31,28,False
113,deal_102,2025-05-05,Proposal,Best Case,24693,2025-08-16,owner_1,True,2025-05-05,0,False
114,deal_102,2025-05-12,Proposal,Best Case,30298,2025-05-16,owner_1,False,2025-05-05,7,False
115,deal_102,2025-05-19,Proposal,Best Case,35586,2025-07-16,owner_1,False,2025-05-05,14,False
